orginal,translation
방하을 못 거든 거츠나 거츤 오려,방아를 못 찧거든 거칠고 거친 올벼
옥  白米 될 쥴 뉘 아라 오리스니,옥 같은 백미가 될 줄 뉘 알아보겠느냐
너희 리고 새 리 사쟈 ꢀ니,너희네 데리고 새 살림 살자 하니
엇그 왓던 도적 아니 멀리 갓다 ꢀ,엊그제 왔던 도적 아니 멀리 갔다고 하는데
너희 귀 눈 업서 져런 줄 모르관,너희네 귀와 눈이 없어 저런 줄 모르고서
화살을 젼혀 언고 옷 밥만 닷토다,화살을 제쳐두고 옷과 밥만 다투느냐
너희 다리고 팁가 주리가,너희네 데리고 추운가 굶주리는가
粥早飯 아 져녁 더 ꢀ다 먹엿거든,죽으로 먹는 아침과 새참  저녁을 충분히 먹였거든
은혜란 각 아녀 제 일만 ꢀ려 ꢀ니,은혜는 생각하지 않고 제 일만 하려 하니
혐 혜 새 들이리 어 제 어더이셔,생각 깊은 새 일꾼을 어느 때 얻어서
집일을 맛치고 시름을 니즈려뇨,집일을 맡기고 시름을 잊겠는가
너희 일 라ꢀ며셔  ꢁ 리 다 래라.,너희 일 애달파하면서 새끼 한 사리 다 꼬겠구나.
어와 져 반하야 도라안자 내 말 듯소,어화 저 반하야 돌아앉아 내 말 듣소
엇지ꢀ 져믄 소 혬 업시 단니다,어찌하여 젊은 손님이 생각 없이 다니느냐
마누라 말을 아니 드러 보다,상전님 말씀을 아니 들어 보았는가
나 일얼만뎡 外方의 늙은 툐이,나는 이럴망정 지방의 늙은 종이
공 밧치고 도라갈  ꢁ 일 다 보왓,공물 바치고 돌아갈 때 하는 일 다 보았네
우리  셰간이야 녜붓터 이러튼가,우리 댁 세간이야 예부터 이렇든가
田民이 만탄 말리 一國에 소 나데,논밭과 노비가 많단 말이 온 나라에 소문났네
먹고 입 드 죵이 百餘口 나마시니,먹고 입고 드난살이하는 종이 백여 명 넘었으니
므 일 ꢁ노라 터밧츨 무겨고,무슨 일 하느라 텃밭을 묵혔는가
農莊이 업다 가 호 연장 못 갓던가,농장이 없다 할까 호미 연장을 못 가졌던가
날마다 무ꢁ려 밥 먹고 단기면셔,날마다 무엇하러 밥 먹고 다니면서
열 나모 亭子 아 낫만 자다,여러 나무 정자 아래 낮잠만 자는가
아들 타시런가 우리  죵의 버릇 보거든 고이ꢁ데,아이들 탓이런가 우리 댁 종의 버릇 볼수록 괴이하네
쇼 먹기 드리 샹름을 凌辱ꢁ고,소 먹이는 아이들이 상마름을 업신여겨 욕보이고
進止ꢁ 어린 손 한 계대를 긔롱ꢀ다,오고 가는 어린 것들 한 어른을 조롱한다
름 졔급 못고 에에로 제 일 ꢁ니,삐뚜름하게 제각기 모으고 딴 꾀로 제 일 하니
ꢀ 집의 수한 일을 뉘라셔 심 고,큰 집의 여러 일을 뉘라서 힘써 할까
穀食庫 븨엿거든 庫直인들 어이 ꢁ며,곡식 창고 비었거든 창고지기인들 어찌 하며
셰간이 흐터거니 딜자힌들 어이 고,세간이 흩어지니 질그릇인들 어찌 할까
내 왼 쥴 내 몰나도 남 왼 줄 모넌가,내 그릇된 줄 내 몰라도 남 그릇된 줄 모를런가
플치거니 치거니 할거니 톱거니,풀어헤치거니 모이거니 헐뜯거니 돕거니
ꢁ로 열둣  어수선 핀거이고,하루 열두 때 어수선을 핀 것인가
밧별감 만하이 外方舍音 都達化主,바깥별감 만하이사 바깥마름 도달화주
제 소임 다 바리고 못릴 이로다,제 소임 다 버리고 못 꾸려갈 뿐이로다
비 여 셔근 집을 뉘라셔 곳쳐 이며,비 새어 썩은 집을 뉘라서 고쳐 이으며
옷 버서 문허진 담 뉘라셔 곳쳐 고,옷 벗어 문어진 담 뉘라서 고쳐 쓸까
불한당 구모도적 악 멀니 단이거든,불한당 구멍에 든 도적 아직 멀리 다니거든
화살  誰何上直 뉘라셔 심쎠 고,화살 찬 수하하는 상직꾼 뉘라서 힘써 할까
큰나큰 기운 집의 마누라 혼 안자,크나큰 기울어진 집에 상전님 혼자 앉아
긔걸을 뉘 드며 論議을 눌과 고,명령을 누가 들으며 의논을 누구와 할까
낫 시름 밤 근심 혼자 맛다 계시거니,낮 시름 밤 근심 혼자 맡아 계시니
옥 튼 얼굴리 편ꢁ실 적 면 날이리,옥 같은 얼굴이 편하실 적 몇 날이리
이 집 이리 되기 뉘 타시라 셔이고,이 집 이리되기 뉘 탓이라 할 것인가
혬 업는 죵의 일은 뭇도 아니 ꢁ련니와,생각 없는 종의 일은 묻지도 아니 하려니와
도로혀 혜여ꢁ니 마누라 타시로롸,돌이켜 생각하니 상전님 탓이로다
 항것 외다 ꢁ기 죵의 죄 만컨마,내 주인 그르다 하기에는 종의 죄가 많건마는
그러타 뉘을 보려 민망ꢁ야 이다,그렇지만 세상을 보기에 민망하여 여쭙니다
 기 마시고 내 말 드르쇼셔,새끼 꼬기 멈추시고 내 말씀 들으소서
집 일을 곳치거든 죵들을 휘오시고,집 일을 고치려거든 종들을 휘어잡고
죵들을 휘오거든 賞罰을 키시고,종들을 휘어잡거든 상벌을 밝게 하시고
賞罰을 발키거든 어른 죵을 미드쇼셔,상벌을 밝게 하시거든 어른 종을 믿으소서
진실노 이리 ꢁ시면 家道 절노 닐니이다.,진실로 이렇게 하시면 집안의 도가 절로 일어날 것입니다.
江강湖호애 病병이 깁퍼 竹듁林님의 누엇더니,강호에 병이 깊어 죽림에 누워 있었더니
關관東동 八팔百里니에 方방面면을 맛디시니,관동 팔백리에 관찰사 소임을 맡기시니
어와 聖셩恩은이야 가디록 罔망極극ꢀ다,아아 성은이야 갈수록 끝이 없구나
延연秋츄門문 드리라 慶경會회南남門문 라보며,연추문 내달아 들어 경회루 남문 바라보며
下하直직고 믈너나니 玉옥節졀이 알 셧다,하직하고 물러나니 관찰사 신표가 앞에 섰구나
平평丘구驛역 을 라 黑흑水슈로 도라드니,평구역에서 말 갈아타고 흑수로 돌아드니
蟾셤江강은 어듸메오 雉티岳악이 여긔로다,섬강은 어디인가 치악이 여기로다
昭쇼陽양江강 린 믈이 어드러로 든단말고,소양강 내리는 물이 어디로 흘러든단 말인가
孤고臣신去거國국에 白髮발도 하도할샤,외로운 신하 임금 곁 떠남에 걱정 근심 많기도 많구나
東동州밤 계오 새와 北븍寬관亭뎡의 올나ꢀ니,철원에서 밤 겨우 새우고 북관정에 올라보니
三삼角각山산 第뎨一일峯봉이 ꢀ마면 뵈리로다,삼각산 제일봉이 잘하면 보일 듯싶구나
弓궁王왕 大대闕궐터희 烏오鵲쟉이 지지괴니,궁예왕 대궐터에 까막까치가 지저귀니
千쳔古고興흥亡망을 아다 몰다,천 년의 흥망을 알고 우는가 모르고 우는가
淮회陽양 녜 일홈이 마초아 시고,회양 옛날 이름이 공교롭게도 같은지고
汲급長댱孺유 風풍彩를 고텨 아니 볼 게이고,급장유 풍모와 인품 다시 아니 볼 것인가
營영中듕이 無무事ꢀ고 時시節졀이 三삼月월인 제,감영 안이 무사하고 시절이 삼월인 때
花화川쳔 시내 길히 楓풍岳악으로 버더 잇다,화천 시내 길이 금강산으로 뻗어 있다
行裝장을 다 티고 石셕逕경의 막대 디퍼,행장을 간편히 하고 돌길에 지팡이 짚어가며
百백川쳔洞동 겨 두고 萬만瀑폭洞동 드러가니,백천동 곁에 두고 만폭동 들어가니
銀은 무지게 玉옥 龍룡의 초리,은 같은 무지개 옥 같은 용의 꼬리
섯돌며  소 十십里리의 자시니,섞어 돌며 내뿜는 소리 십리까지 퍼져나가니
들을 제 우레러니 보니 눈이로다,들을 때는 우레 같더니 바라보니 눈이로구나
金금剛강臺  우層층의 仙션鶴학이 삿기 치니,금강대 꼭대기에 신선의 학이 새끼를 치니
春츈風풍 玉옥笛뎍聲셩의 첫 을 돗던디,춘풍 옥피리 소리에 첫잠을 깨었는지
縞호衣의玄현裳샹이 半반空공의 소소 니,흰 저고리 검은 치마 학이 공중에 솟아 뜨니
西셔湖호 녯 主쥬人인을 반겨셔 넘노 ,서호 옛 주인을 반겨서 넘노는 듯
小쇼香향爐노 大대香향爐노 눈 아래 구버보고,소향로 대향로 눈 아래 굽어보고
正졍陽양寺 眞진歇헐臺 고텨 올나 안마리,정양사 진헐대 다시 올라 앉아보니
廬녀山산 眞진面면目목이 여긔야 다 뵈다,여산 진면목이 여기서야 다 보이는구나
어와 造조化화翁옹이 헌토 헌샤,아아 조물주 솜씨가 야단스럽기도 야단스럽구나
거든 디 마나 셧거든 솟디 마나,나는 듯하거든 뛰지나 말 것을 서 있는 듯하거든 솟지나 말 것을
芙부蓉용을 고잣 白玉옥을 믓것 ,연꽃을 꽂아 놓은 듯 백옥을 묶어 놓은 듯
東동溟명을 박 닷 北북極극을 괴왓 ,동해를 박차는 듯 북극성을 떠받쳐 괴는 듯
놉흘시고 望망高고臺 외로올샤 穴혈望망峰봉이,높기도 하구나 망고대 외롭기도 하구나 혈망봉이
하의 추미러 무 일을 로리라,하늘에 치밀어 무슨 일을 아뢰려고
千쳔萬만劫겁 디나록 구필줄 모다,천만 겁 지나도록 굽힐 줄 모르는가
어와 너여이고 너  니  잇가,아아 너로구나 너 같은 이 또 있는가
開心심臺 고텨 올나 衆듕香향城셩 라보며,개심대 다시 올라 중향성 바라보며
萬만二이千쳔峯봉을 歷녁歷녁히 혀여ꢀ니,만 이천 봉을 역역히 헤아려 보니
峰봉마다 쳐 잇고 긋마다 서린 긔운,봉우리마다 맺혀 있고 끝마다 서린 기운
거든 조티 마나 조커든 디 마나,맑거든 깨끗하지나 말 것을 깨끗하거든 맑지나 말 것을
뎌 긔운 흐터 내야 人인傑걸을 고쟈,저 기운 흩어 내어 인걸을 만들고 싶구나
形형容용도 그지 업고 體톄勢셰도 하도할샤,생긴 모양도 끝이 없고 몸집 형세도 많기도 많구나
天텬地디 삼기실 제 自然연이 되연마,천지가 생겨날 때 저절로 되었으련만
이제 와 보게 되니 有유情졍도 有유情졍샤,이제 와서 보게 되니 정답고 정답구나
毗비盧로峰봉 上샹上샹頭두의 올라 보니 긔 뉘신고,비로봉 꼭대기에 올라 본 이 그 누구신고
東동山산 泰태山산이 어야 놉돗던고,동산 태산이 어느 것이 더 높던가
魯노國국 조븐 줄도 우리 모거든,노국 좁은 줄도 우리는 모르거든
넙거나 넙은 天텬下하 엇ꢀ야 젹닷 말고,넓고도 넓은 천하 어찌하여 작단 말인가
어와 뎌 디위 어이ꢀ면 알 거이고,아아 저 경지를 어찌하면 알 것인가
오디 못ꢀ거니 려가미 고이가,오르지 못하거늘 내려감이 이상할까
圓원通통골  길로 獅子峰봉을 자가니,원통골 가는 길로 사자봉을 찾아가니
그 알 너러바회 化화龍룡쇠 되어셰라,그 앞에 너럭바위 화룡소가 되었구나
千쳔年년 老노龍룡이 구구 서려 이셔,천년 묵은 늙은 용이 굽이굽이 서려 있어
晝듀夜야의 흘녀내여 滄창海예 니어시니,밤낮으로 흘러 내리어 아득한 바다에 이어졌으니
風풍雲운을 언제 어더 三삼日일雨우 디련다,바람과 구름을 언제 얻어 사흘 동안 비 내리려는가
陰음崖애예 이온 플을 다 살와 내여라,그늘진 언덕의 시든 풀들을 다 살려 내려무나
磨마訶하衍연 妙묘吉길祥샹 雁안門문재 너머 디여,마하연 묘길상 안문재 넘어 내려가
외나모 근 리 佛블頂뎡臺 올라ꢀ니,외나무 썩은 다리 건너 불정대에 올라보니
千쳔尋심 絶졀壁벽을 半반空공애 셰여 두고,천 길 절벽을 공중에 반쯤 세워 두고
銀은河하水슈 한 구 촌촌이 버혀 내여,은하수 큰 굽이를 마디마디 베어 내어
실티 플텨이셔 뵈티 거러시니,실처럼 풀어서 베처럼 걸어 놓았으니
圖도經경 열두 구 내 보매 여러히라,산수 그림책의 열 두 굽이 내 보기엔 여럿이라
李니謫뎍仙션 이제 이셔 고텨 의논 ꢀ게 되면,유배온 신선 이백이 이제 있어 다시 의논하게 되면
廬녀山산이 여긔도곤 낫단 말 못ꢀ려니,여산이 여기보다 낫다는 말 못 하리라
山산中듕을 양 보랴 東동海로 가쟈라,산중을 매양 보랴 동해로 가자꾸나
藍남輿여 緩완步보ꢀ야 山산映영樓누의 올나ꢀ니,가마 타고 느긋이 걸어 산영루에 올라보니
玲녕瓏농碧벽溪계와 數수聲셩啼뎨鳥됴 離니別별을 怨원ꢀ ,영롱한 시냇물 우짖는 새소리는 이별을 원망하는 듯
旌졍旗긔를 티니 五오色이 넘노 ,행렬 깃발을 휘날리니 오색 기폭이 넘노는 듯
鼓고角각을 섯부니 海 雲운이 다것 ,북과 나팔 섞어 부니 바다 구름이 다 걷히는 듯
鳴명沙사 길 니근 이 醉仙션을 빗기 시러,밟으면 소리나는 모랫길에 익숙한 말이 취한 신선을 비껴 실어
바다 겻 두고 海棠당花화로 드러가니,바다를 곁에 두고 해당화 핀 길로 들어가니
白鷗구야 디 마라 네 버딘 줄 엇디 아,갈매기야 날지 마라 네 벗인 줄 어찌 아느냐
金금蘭난窟굴 도라 드러 叢총石셕亭뎡 올라ꢀ니,금란굴 돌아 들어 총석정 올라가니
白玉옥樓누 남은 기동 다만 네히 셔 잇고야,백옥루 남은 기둥 다만 네 개 서 있구나
